origin_station_complex_name,day_of_week,hour_of_day,avg(sum_estimated_average_ridership)
103 St (6),Friday,13,436.80924166666665
103 St (6),Friday,14,591.2328583333334
103 St (6),Friday,15,849.6344499999999
103 St (6),Friday,16,768.4473750000001
103 St (6),Friday,17,715.0296083333334
103 St (6),Friday,18,452.4351583333333
103 St (6),Friday,19,348.55022499999995
103 St (6),Friday,20,234.9869
103 St (6),Friday,21,145.8551666666667
103 St (6),Friday,22,103.17675833333334
103 St (6),Friday,23,81.61659166666665
103 St (6),Monday,0,20.178750000000004
103 St (6),Monday,1,10.195958333333332
103 St (6),Monday,2,9.125275
103 St (6),Monday,3,10.875025
103 St (6),Monday,4,29.271966666666675
103 St (6),Monday,5,96.55375000000002
103 St (6),Monday,6,248.22693333333333
103 St (6),Monday,7,559.4894833333334
103 St (6),Monday,8,691.1866333333334
103 St (6),Monday,9,414.55767499999996
103 St (6),Monday,10,313.858625
103 St (6),Monday,11,306.1327416666666
103 St (6),Monday,12,324.09997500000003
103 St (6),Monday,13,368.63151666666664
103 St (6),Monday,14,499.24115833333343
103 St (6),Monday,15,795.1675083333334
103 St (6),Monday,16,767.9593
103 St (6),Monday,17,730.5401583333332
103 St (6),Monday,18,423.90512499999994
103 St (6),Monday,19,288.387425
103 St (6),Monday,20,188.41767499999995
103 St (6),Monday,21,111.78983333333333
103 St (6),Monday,22,81.28505
103 St (6),Monday,23,75.58394166666666
103 St (6),Saturday,0,28.26695833333334
103 St (6),Saturday,1,15.31705833333333
103 St (6),Saturday,2,10.115733333333333
103 St (6),Saturday,3,8.433341666666665
103 St (6),Saturday,4,15.334191666666667
103 St (6),Saturday,5,39.26284999999999
103 St (6),Saturday,6,96.67035
103 St (6),Saturday,7,191.74865
103 St (6),Saturday,8,206.78914999999998
103 St (6),Saturday,9,237.7286333333333
103 St (6),Saturday,10,251.36105833333332
103 St (6),Saturday,11,254.14775
103 St (6),Saturday,12,291.563375
103 St (6),Saturday,13,291.7830083333333
103 St (6),Saturday,14,317.77025833333335
103 St (6),Saturday,15,353.0152916666666
103 St (6),Saturday,16,300.87478333333337
103 St (6),Saturday,17,282.3414
103 St (6),Saturday,18,244.26125833333336
103 St (6),Saturday,19,210.32829166666667
103 St (6),Saturday,20,160.97646666666665
103 St (6),Saturday,21,107.68671666666665
103 St (6),Saturday,22,87.32555833333333
103 St (6),Saturday,23,69.41329166666668
103 St (6),Sunday,0,27.430424999999996
103 St (6),Sunday,1,16.763375
103 St (6),Sunday,2,9.396041666666667
103 St (6),Sunday,3,6.566791666666667
103 St (6),Sunday,4,13.683516666666664
103 St (6),Sunday,5,30.233833333333337
103 St (6),Sunday,6,74.89835
103 St (6),Sunday,7,139.2663
103 St (6),Sunday,8,153.4144666666667
103 St (6),Sunday,9,181.13235833333331
103 St (6),Sunday,10,213.16596666666666
103 St (6),Sunday,11,220.84999166666668
103 St (6),Sunday,12,230.57383333333334
103 St (6),Sunday,13,251.95586666666668
103 St (6),Sunday,14,267.6087166666667
103 St (6),Sunday,15,275.6399583333333
103 St (6),Sunday,16,234.14590833333338
103 St (6),Sunday,17,207.72518333333332
103 St (6),Sunday,18,167.693725
103 St (6),Sunday,19,154.03095000000002
103 St (6),Sunday,20,112.75307500000001
103 St (6),Sunday,21,71.36303333333335
103 St (6),Sunday,22,56.51280833333333
103 St (6),Sunday,23,47.08735833333333
103 St (6),Thursday,0,24.525716666666668
103 St (6),Thursday,1,10.479925000000001
103 St (6),Thursday,2,11.804833333333335
103 St (6),Thursday,3,14.005516666666665
