station,month,avg_ridership
"14 St (A,C,E)/8 Av (L)",12,2725.9176505952373
"14 St (F,M,1,2,3)/6 Av (L)",1,2187.564803571428
"14 St (F,M,1,2,3)/6 Av (L)",2,2247.154982738095
"14 St (F,M,1,2,3)/6 Av (L)",3,2381.5717267857144
"14 St (F,M,1,2,3)/6 Av (L)",4,2597.089583928572
"14 St (F,M,1,2,3)/6 Av (L)",5,2808.102270238095
"14 St (F,M,1,2,3)/6 Av (L)",6,2549.0925101190473
"14 St (F,M,1,2,3)/6 Av (L)",7,2036.9132440476196
"14 St (F,M,1,2,3)/6 Av (L)",8,2084.892774999999
"14 St (F,M,1,2,3)/6 Av (L)",9,2655.3905101190476
"14 St (F,M,1,2,3)/6 Av (L)",10,2824.751640476191
"14 St (F,M,1,2,3)/6 Av (L)",11,2651.530222023809
"14 St (F,M,1,2,3)/6 Av (L)",12,2480.65218095238
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",1,4711.491086904761
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2,5298.677166666666
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",3,5399.43631785714
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",4,5504.389986309523
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",5,5517.339195833332
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",6,5187.208847619047
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",7,4470.301997023809
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",8,4738.565035119047
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",9,5764.592716666666
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",10,6075.433974404761
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",11,5750.137574404765
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",12,5814.312717261904
145 St (1),1,419.71026428571423
145 St (1),2,435.3426654761905
145 St (1),3,488.58637023809524
145 St (1),4,513.4219821428574
145 St (1),5,505.85471309523825
145 St (1),6,481.7959357142857
145 St (1),7,341.93186309523804
145 St (1),8,435.6555369047621
145 St (1),9,510.55704880952385
145 St (1),10,531.8395571428573
145 St (1),11,582.6520238095236
